Name,Tag,Total Attacks,Total Stars,Avg Stars,Total Dest,Avg Dest,Three Stars,Two Stars,One Stars,Zero Stars,Missed,Def Stars,Avg Def Stars,Total Def Dest,Avg Def Dest
littlesonshine,#RCV08YPR,48,120,2.50,4360.00,90.83,29,15,3,1,0,50,2,1858.00,84.45
Pixal,#990LG8Q9R,44,107,2.43,3952.00,89.82,24,16,3,1,0,55,3,1910.00,86.82
Blue,#JCYYY9VY,42,100,2.38,3632.00,86.48,23,13,5,1,0,54,3,1870.00,89.05
Karuko,#2G2YCU0P9,40,94,2.35,3527.00,88.17,24,10,2,3,1,56,3,1964.00,98.20
Harsh (gt)25,#2CJPGVLQ2,36,88,2.44,3183.00,88.42,22,9,4,0,1,48,3,1600.00,100.00
luvly,#Q9GPQ08Y8,36,80,2.22,3193.00,88.69,23,0,11,2,0,49,3,1672.00,92.89
verbatxm,#20R9QGCJC,28,75,2.68,2637.00,94.18,22,3,3,0,0,35,3,1334.00,95.29
Pixalite,#29Q8Y200G,26,71,2.73,2463.00,94.73,21,3,2,0,0,33,3,1140.00,95.00
SkyNet,#292LQVGP8,26,64,2.46,2295.00,88.27,18,4,2,0,2,34,3,1202.00,92.46
Left Pix,#82GLJC8YQ,24,62,2.58,2237.00,93.21,20,0,2,2,0,36,3,1200.00,100.00
ßïg Væ?,#LGGUJVRCJ,24,62,2.58,2146.00,89.42,19,2,1,0,2,36,3,1200.00,100.00
Bullet,#9PC2U8G98,26,62,2.38,2127.00,81.81,16,7,0,0,3,24,2,812.00,67.67
o0o_Jerson_o0o,#PL9VLC9RP,24,58,2.42,2163.00,90.13,15,5,3,1,0,33,3,1163.00,96.92
HomeSlicedToast,#G099YGUG,22,55,2.50,2056.00,93.45,15,3,4,0,0,21,3,756.00,94.50
Ossamy,#LCJ088C2,26,54,2.08,2283.00,87.81,9,11,5,1,0,36,3,1284.00,98.77
BK1,#LRUGQY80P,20,54,2.70,1961.00,98.05,16,2,2,0,0,28,3,935.00,93.50
marleigh,#QGCLV2J0,20,52,2.60,1853.00,92.65,13,6,1,0,0,25,3,858.00,95.33
GAWD,#PJCPC8280,24,51,2.13,1881.00,78.38,12,6,3,1,2,35,3,1199.00,99.92
ZARD,#LJ92JJ8Q,20,51,2.55,1819.00,90.95,16,1,1,2,0,26,3,897.00,99.67
.:.Ahu.:.,#JLRJ2GPV,18,51,2.83,1771.00,98.39,16,1,1,0,0,24,3,836.00,92.89
Dry Dream,#LVY9R20CR,18,46,2.56,1654.00,91.89,11,6,1,0,0,26,3,854.00,94.89
Lucid,#PUCCG908Y,20,45,2.25,1760.00,88.00,10,5,5,0,0,18,2,660.00,82.50
Pork_Adobo,#QU29PUQ8,16,42,2.63,1502.00,93.88,12,3,0,1,0,23,3,763.00,95.38
jeraldlsx,#PPQJG9G0V,16,41,2.56,1488.00,93.00,10,5,1,0,0,23,3,794.00,99.25
?????,#YPV0JUQYU,30,40,1.33,1689.00,56.30,12,1,2,10,5,45,3,1500.00,100.00
Right Pix,#9PJG98QCR,16,39,2.44,1317.00,82.31,12,1,1,0,2,24,3,800.00,100.00
sillysilas,#Y9P0RUU0,16,38,2.38,1449.00,90.56,9,4,3,0,0,19,3,684.00,97.71
TheXGamers,#Y0QV999G,18,37,2.06,1379.00,76.61,9,4,2,3,0,24,3,856.00,95.11
BlueNxtz,#Q0L2PGVVJ,14,35,2.50,1253.00,89.50,11,1,0,2,0,21,3,700.00,100.00
tank,#GPGCC9PG,14,34,2.43,1213.00,86.64,8,5,0,1,0,18,3,637.00,91.00
NATURE BOY...,#PPJPGCQYR,16,34,2.13,1192.00,74.50,9,3,1,2,1,24,3,800.00,100.00
Sickno,#8RR28YU2,14,34,2.43,1185.00,84.64,9,2,3,0,0,21,3,700.00,100.00
Collin,#PP2L0LUL9,12,34,2.83,1171.00,97.58,11,0,1,0,0,10,2,348.00,69.60
FredTime,#LV9CQQUR9,16,32,2.00,1192.00,74.50,8,3,2,1,2,22,3,774.00,96.75
Deer,#PGPJV9VCJ,12,32,2.67,1098.00,91.50,8,4,0,0,0,18,3,600.00,100.00
Mark,#YLRRQQCPU,12,31,2.58,1159.00,96.58,7,5,0,0,0,16,3,574.00,95.67
Eric,#2LPCUCLYR,12,31,2.58,1141.00,95.08,9,1,2,0,0,16,3,511.00,85.17
Grandma ?,#P29R0UYJP,16,30,1.88,1249.00,78.06,5,6,3,2,0,24,3,800.00,100.00
Nicholas Ng,#QUR022QG,12,30,2.50,1116.00,93.00,8,2,2,0,0,16,3,553.00,92.17
FORHAN,#92RQUC802,14,29,2.07,1140.00,81.43,7,3,2,0,2,19,3,666.00,95.14
Hero,#2GQ22RCCG,12,28,2.33,1049.00,87.42,7,3,1,1,0,16,3,574.00,95.67
Ed,#2VUUV2VJ2,10,27,2.70,900.00,90.00,8,1,1,0,0,14,3,494.00,98.80
Crispy,#QPQLY992,14,26,1.86,1029.00,73.50,6,2,4,1,1,20,3,680.00,97.14
Hypathios,#82C9UC0U9,12,26,2.17,978.00,81.50,6,3,2,0,1,13,2,465.00,77.50
Cole 2.0,#9P0VGQLJP,10,26,2.60,977.00,97.70,6,4,0,0,0,14,3,463.00,92.60
THUNDERPULSE360,#PGY0Q9Q2L,10,24,2.40,938.00,93.80,5,4,1,0,0,14,3,453.00,90.60
qwertyuiop6,#LPPQJQYJU,8,24,3.00,800.00,100.00,8,0,0,0,0,12,3,400.00,100.00
AllJamSammich,#YVR2CYPL9,8,23,2.88,799.00,99.88,7,1,0,0,0,10,3,365.00,91.25
Royal Peasant,#P8820VGYP,8,23,2.88,776.00,97.00,7,1,0,0,0,11,3,362.00,90.50
Anubis,#LC2Q8UPGP,8,22,2.75,785.00,98.13,6,2,0,0,0,12,3,400.00,100.00
Shadvox,#RYC8LYG2,8,22,2.75,775.00,96.88,6,2,0,0,0,9,3,300.00,100.00
Triton,#J9RGCLGL,10,21,2.10,764.00,76.40,3,5,2,0,0,10,2,345.00,69.00
MY5T3RY5M4RT13,#L0JV0LQR0,8,20,2.50,716.00,89.50,6,1,0,1,0,12,3,400.00,100.00
No U,#L0GR9RJ82,14,19,1.36,758.00,54.14,4,2,3,2,3,20,3,698.00,99.71
GH96,#YCV2CQ280,6,18,3.00,600.00,100.00,6,0,0,0,0,9,3,300.00,100.00
/AaRoN\,#YV9P9GC0P,6,17,2.83,582.00,97.00,5,1,0,0,0,8,3,259.00,86.33
Designerpog,#QP2LUC009,8,15,1.88,563.00,70.38,5,0,0,3,0,12,3,400.00,100.00
Saransh,#2VR92U9UP,6,15,2.50,500.00,83.33,5,0,0,0,1,8,3,283.00,94.33
Tobias Forge,#JY09C9UJ,6,14,2.33,532.00,88.67,4,1,0,1,0,9,3,300.00,100.00
mathnerd66,#LVC9YVCYR,8,14,1.75,518.00,64.75,4,0,2,0,2,12,3,400.00,100.00
Kramer,#YYLC2CJ20,8,13,1.63,598.00,74.75,2,2,3,1,0,12,3,400.00,100.00
morfowt,#2PLJPGR0Q,6,12,2.00,490.00,81.67,1,4,1,0,0,9,3,300.00,100.00
eduardossoler,#LL929V2YC,8,12,1.50,446.00,55.75,3,1,1,1,2,8,2,381.00,95.25
Syckno,#PU0GUCPJC,4,12,3.00,400.00,100.00,4,0,0,0,0,6,3,200.00,100.00
DethKiler,#90GLQR090,4,12,3.00,400.00,100.00,4,0,0,0,0,5,3,168.00,84.00
NauTxz,#909R0GP8,4,12,3.00,400.00,100.00,4,0,0,0,0,6,3,200.00,100.00
Kismet_27,#Q0L0VY0PQ,12,11,0.92,578.00,48.17,1,3,2,6,0,17,3,583.00,97.17
Theo,#LQ2P9VU88,8,11,1.38,406.00,50.75,3,1,0,1,3,12,3,400.00,100.00
Real Bad Donkey,#PYUUYP8L,4,11,2.75,390.00,97.50,3,1,0,0,0,2,2,81.00,81.00
"Drew, And",#GL9JRQR2,4,10,2.50,330.00,82.50,2,2,0,0,0,6,3,200.00,100.00
Ice Golem,#Q2RUCY88L,4,10,2.50,306.00,76.50,2,2,0,0,0,6,3,200.00,100.00
SLAY DOG,#YLG82C9Y2,8,9,1.13,359.00,44.88,2,1,1,1,3,12,3,400.00,100.00
JUMBO JUICE,#Q2LU9RCC8,18,9,0.50,300.00,16.67,3,0,0,0,15,27,3,900.00,100.00
Mr.D,#CQP2RLY0,4,8,2.00,326.00,81.50,1,2,1,0,0,6,3,200.00,100.00
THE DARK VENOM,#UGYUR2V9,6,7,1.17,371.00,61.83,1,0,4,1,0,9,3,300.00,100.00
Asser,#22C9V9G2L,6,7,1.17,295.00,49.17,1,2,0,1,2,9,3,300.00,100.00
Parth,#P8UUCPR8U,4,7,1.75,278.00,69.50,0,3,1,0,0,6,3,200.00,100.00
MAD DOG,#L0Q80VRJ2,4,7,1.75,272.00,68.00,2,0,1,1,0,6,3,200.00,100.00
Austin,#8QP9Y0PJR,6,6,1.00,345.00,57.50,1,0,3,1,1,9,3,300.00,100.00
Dynamic,#LQ29P98VL,4,6,1.50,272.00,68.00,1,0,3,0,0,6,3,200.00,100.00
kingTzilla,#2LQ9Y8CUR,2,6,3.00,200.00,100.00,2,0,0,0,0,3,3,100.00,100.00
Salim,#9PVQ9RJJG,2,6,3.00,200.00,100.00,2,0,0,0,0,3,3,100.00,100.00
????Mo??????,#2CYVR82QQ,2,6,3.00,200.00,100.00,2,0,0,0,0,3,3,100.00,100.00
BenDon,#9GRLJC9UJ,2,6,3.00,200.00,100.00,2,0,0,0,0,3,3,100.00,100.00
dk,#LLC20U2PG,2,6,3.00,200.00,100.00,2,0,0,0,0,3,3,100.00,100.00
A is for Apples,#P8L8P9PC9,2,6,3.00,200.00,100.00,2,0,0,0,0,2,2,81.00,81.00
NICK,#PLP02Q2P,4,6,1.50,200.00,50.00,2,0,0,0,2,5,3,178.00,89.00
DarkPrince,#9YJG22RLG,2,6,3.00,200.00,100.00,2,0,0,0,0,3,3,100.00,100.00
_Maxmus_,#88Q22R2Y8,2,6,3.00,200.00,100.00,2,0,0,0,0,2,2,85.00,85.00
Strider,#9PP22PVPR,2,5,2.50,196.00,98.00,1,1,0,0,0,3,3,100.00,100.00
Nick v2,#QPCGUVVQC,2,5,2.50,169.00,84.50,1,1,0,0,0,3,3,100.00,100.00
Sloth,#Y9V8LUCLQ,2,4,2.00,173.00,86.50,0,2,0,0,0,3,3,100.00,100.00
go easy on me,#LJVCYVPV9,2,4,2.00,153.00,76.50,1,0,1,0,0,2,2,75.00,75.00
MR.Z,#2LRRYLVR2,2,4,2.00,129.00,64.50,0,2,0,0,0,3,3,100.00,100.00
Timmyboy,#90RPL0LGL,2,3,1.50,150.00,75.00,0,1,1,0,0,3,3,100.00,100.00
Fisk,#Q2V2QPQ0P,2,3,1.50,148.00,74.00,1,0,0,1,0,3,3,100.00,100.00
¥ch?t?n????™©,#P809UL0R9,2,3,1.50,124.00,62.00,1,0,0,1,0,3,3,100.00,100.00
Hypoxia,#YV2YJ2QGQ,26,3,0.12,100.00,3.85,1,0,0,0,25,39,3,1300.00,100.00
SteveWearsPrada,#20LUYL88P,2,3,1.50,100.00,50.00,1,0,0,0,1,3,3,100.00,100.00
hajtowa,#YUGQYUR0U,2,0,0.00,13.00,6.50,0,0,0,2,0,3,3,100.00,100.00
Jacody,#LRLV8JU9V,2,0,0.00,0.00,0.00,0,0,0,0,2,3,3,100.00,100.00
Black Vomit,#LYLGG9JVL,2,0,0.00,0.00,0.00,0,0,0,0,2,3,3,100.00,100.00
Sashimi,#RR8CRQ8Y,2,0,0.00,0.00,0.00,0,0,0,0,2,2,2,80.00,80.00
Ben,#YG0P9U290,2,0,0.00,0.00,0.00,0,0,0,0,2,2,2,52.00,52.00
Alex O Maners14,#YJRLJGVYC,2,0,0.00,0.00,0.00,0,0,0,0,2,3,3,100.00,100.00
